[1/3/2026, 11:19:48 PM]:[INFO] - [wm] already signed in?,false
[1/3/2026, 11:19:51 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
undefined
undefined
[1/3/2026, 11:20:00 PM]:[ERROR] - uncaughtException: ,{"name":"TypeError","message":"Cannot read properties of undefined (reading 'focus')","stack":"TypeError: Cannot read properties of undefined (reading 'focus')\n    at registeredCancelCallbackMap.focusLastWindow (/opt/figma-linux/resources/app.asar/main/main.js:1:51538)\n    at App.emit (node:events:518:28)\n    at new menuManager (/opt/figma-linux/resources/app.asar/main/main.js:1:45733)\n    at Object.<anonymous> (/opt/figma-linux/resources/app.asar/main/main.js:1:45486)\n    at Module._compile (node:internal/modules/cjs/loader:1391:14)\n    at Module._extensions..js (node:internal/modules/cjs/loader:1451:10)\n    at Module.load (node:internal/modules/cjs/loader:1214:32)\n    at Module._load (node:internal/modules/cjs/loader:1030:12)\n    at c._load (node:electron/js2c/node_init:2:13672)\n    at node:electron/js2c/browser_init:2:125815"}
[1/3/2026, 11:20:04 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:20:04 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:20:05 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:20:05 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:20:05 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[1/3/2026, 11:20:05 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:20:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:20:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:20:10 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:20:10 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:20:10 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[1/3/2026, 11:20:10 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:20:10 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[1/3/2026, 11:20:10 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:20:12 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:20:12 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:20:12 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:20:13 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:20:50 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:05 PM]:[INFO] - [wm] already signed in?,true
[1/3/2026, 11:21:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[1/3/2026, 11:21:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:21:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[1/3/2026, 11:21:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:21:09 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:10 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:10 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:11 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:11 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:11 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[1/3/2026, 11:21:11 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:21:11 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[1/3/2026, 11:21:11 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:21:12 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:44 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:44 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:44 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:44 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:45 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:45 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:46 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setLocales
[1/3/2026, 11:21:46 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:21:46 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setLocales
[1/3/2026, 11:21:46 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:21:46 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:21:46 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:21:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:58 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:58 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setThemePreference
